# id	length	x	y	z	rot_z	rot_y	rot_x
150	0.22	0.0	5.0	0	0	0	0
151	0.22	1.0	5.0	0	0	0	0
152	0.22	2.0	5.0	0	0	0	0
153	0.22	3.0	5.0	0	0	0	0
154	0.22	0.0	4.0	0	0	0	0
155	0.22	1.0	4.0	0	-4.71	0	0
156	0.22	2.0	4.0	0	-4.71	0	0
157	0.22	3.0	4.0	0	0	0	0
158	0.22	0.0	3.0	0	0	0	0
159	0.22	1.0	3.0	0	-4.71	0	0
160	0.22	2.0	3.0	0	-1.57	0	0
161	0.22	3.0	3.0	0	-1.57	0	0
162	0.22	0.0	2.0	0	0	0	0
163	0.22	1.0	2.0	0	0	0	0
164	0.22	2.0	2.0	0	0	0	0
165	0.22	3.0	2.0	0	0	0	0
166	0.22	0.0	1.0	0	0	0	0
167	0.22	1.0	1.0	0	0	0	0
168	0.22	2.0	1.0	0	0	0	0
169	0.22	3.0	1.0	0	0	0	0
170	0.22	0.0	0.0	0	0	0	0
171	0.22	1.0	0.0	0	0	0	0
172	0.22	2.0	0.0	0	0	0	0
173	0.22	3.0	0.0	0	0	0	0
